@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-05,2010-05-01,7.53,7.53,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-06,2010-06-01,7.55,7.55,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-07,2010-07-01,7.8444,7.8444,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-08,2010-08-01,7.92052,7.92052,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-09,2010-09-01,7.87,7.87,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-10,2010-10-01,8.0836,8.0836,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-11,2010-11-01,8.06122,8.06122,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-12,2010-12-01,7.94103,7.94103,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-01,2011-01-01,8.13363,8.13363,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-02,2011-02-01,8.01497,8.01497,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-03,2011-03-01,8.01405,8.01405,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-04,2011-04-01,8.13849,8.13849,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-05,2011-05-01,8.41718,8.41718,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-06,2011-06-01,8.33312,8.33312,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2011-07,2011-07-01,8.46654,8.46654,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
