@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1961-Q1,1961-01-01,-398.929643090663,-398.929643090663,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1961-Q2,1961-04-01,-354.178711727994,-354.178711727994,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1961-Q3,1961-07-01,-96.7956629264686,-96.7956629264686,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1961-Q4,1961-10-01,-327.337670246184,-327.337670246184,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1962-Q1,1962-01-01,-410.975115674552,-410.975115674552,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1962-Q2,1962-04-01,-422.76416775198,-422.76416775198,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1962-Q3,1962-07-01,-112.871823935097,-112.871823935097,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1962-Q4,1962-10-01,-181.398447837389,-181.398447837389,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1963-Q1,1963-01-01,-279.594472785824,-279.594472785824,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1963-Q2,1963-04-01,-284.478576337803,-284.478576337803,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
